Type,Day of Week,Description,Status,ToDoW,DoneW
4/20/21,Tuesday,Speak with Dr. Bardes +,1,,3
4/20/21,Tuesday,Epoxy folding table +,1,,3
4/19/21,Monday,Get Covid-19 test ^,1,,4
4/19/21,Monday,Pick up shelf *,1,,2
4/19/21,Monday,Go to dental appointment *,1,,2
4/19/21,Monday,"Get wrapping paper, card, and flowers for Lourdes *",1,,2
4/19/21,Monday,Wrap Lourdes' birthday present *,1,,2
4/19/21,Monday,Call Dr. Bardes *,1,,2
4/18/21,Sunday,Pay Maria for Dinner,1,,1
4/18/21,Sunday,Find 5 Languages of Love book - Apple,1,,1
4/18/21,Sunday,Exercise - Bicycling *,1,,2
4/18/21,Sunday,Do Bills *,1,,2
4/18/21,Sunday,Invite Mother for dinner,1,,1
4/17/21,Saturday,Yoga *,1,,2
4/17/21,Saturday,Unload Dishwasher,1,,1
4/17/21,Saturday,Bring back liquor from Mother’s,1,,1
4/17/21,Saturday,Bring money and card down to Mother's,1,,1
4/17/21,Saturday,Turn off ALLopez757 email account,1,,1
4/17/21,Saturday,Set up Auto-Undone count in Accomplishments Spreadsheet +,1,,3
4/17/21,Saturday,Grind Coffee +,1,,3
4/17/21,Saturday,Update Favorite Channels - Remove Cinemax,1,,1
4/17/21,Saturday,Exercise - Walking,1,,1
4/17/21,Saturday,Show Mike how speaker works,1,,1
4/16/21,Friday,Yoga *,1,,2
4/16/21,Friday,Pay Lourdes for Costco,1,,1
4/16/21,Friday,Do Laundry +,1,,3
4/16/21,Friday,Try to pick up shelf +,1,,3
4/16/21,Friday,Replace anti-fog cloth,1,,1
4/16/21,Friday,Restart MacBook,1,,1
4/16/21,Friday,Deposit Mother’s NYS tax refund check,1,,1
4/16/21,Friday,Answer Hans-Juergen,1,,1
4/16/21,Friday,Update MachineWhisper 2020 Expenses,1,,1
4/16/21,Friday,Finish Calculating Shopping Trip Allocations *,1,,2
4/16/21,Friday,Register with Total Wine,1,,1
4/16/21,Friday,Check MachineWhisper domain auto-renewal,1,,1
4/15/21,Thursday,Fix Meetup ID,1,,1
4/15/21,Thursday,Print Guardian article for Mother,1,,1
4/15/21,Thursday,Order pantry shelf +,1,,3
4/15/21,Thursday,Take clear ice out at 11:20,1,,1
4/15/21,Thursday,Decline Toastmasters Meeting due to Lourdes' Birthday,1,,1
4/15/21,Thursday,Go to Dental Appointment *,1,,2
4/15/21,Thursday,Start Calculating Shopping Trip Allocations *,1,,2
4/15/21,Thursday,Test if Laser Air Printing still works when Mac is sleeping,1,,1
4/15/21,Thursday,Make Bread Machine Sourdough Bread *,1,,2
4/15/21,Thursday,Make basmati rice,1,,1
4/14/21,Wednesday,Yoga *,1,,2
4/14/21,Wednesday,Get Stye medicine back from Amanda,1,,1
4/14/21,Wednesday,Have Northwestern Mutual Meeting,1,,1
4/14/21,Wednesday,Get Python IDE for iPad and iPhone +,1,,3
4/14/21,Wednesday,Find out where to get shelf,1,,1
4/14/21,Wednesday,Get Mother's Apartment Cleaned *,1,,2
4/14/21,Wednesday,Update Tom Tom,1,,1
4/14/21,Wednesday,Start clear ice,1,,1
4/13/21,Tuesday,Go on Shopping Trip ^,1,,4
4/13/21,Tuesday,Watch Mets game with Mother,1,,1
4/12/21,Monday,Yoga *,1,,2
4/12/21,Monday,Exercise - Rowing *,1,,2
4/12/21,Monday,Go to Whole Foods with Lourdes,1,,1
4/12/21,Monday,Schedule tooth fix,1,,1
4/12/21,Monday,Feed sourdough,1,,1
4/12/21,Monday,Survey paper situation at Mother's,1,,1
4/12/21,Monday,Change oven aluminum,1,,1
4/12/21,Monday,Answer recruiter on LinkedIn,1,,1
4/12/21,Monday,Go to Uniqlo,1,,1
4/12/21,Monday,Research why clear ice has bubbles outside,1,,1
4/12/21,Monday,Meditate,1,,1
4/11/21,Sunday,Make Sourdough Pancakes +,1,,3
4/11/21,Sunday,Get Mother's thermostat fixed *,1,,2
4/11/21,Sunday,Preview May expenses,1,,1
4/11/21,Sunday,Clean Bathroom +,1,,3
4/11/21,Sunday,Get Mother's sink hose weight,1,,1
4/11/21,Sunday,Clean Air Filters,1,,1
4/11/21,Sunday,Organize bottom of nightstand,1,,1
4/11/21,Sunday,Look for memory books,1,,1
4/11/21,Sunday,Make Samosa Dinner *,1,,2
4/11/21,Sunday,Set up Accomplishments spreadsheet to track daily undone,1,,1
4/10/21,Saturday,Yoga *,1,,2
4/10/21,Saturday,Get Bagels,1,,1
4/10/21,Saturday,Photograph Vaccination Card,1,,1
4/10/21,Saturday,Get Vaccination Card Laminated,1,,1
4/10/21,Saturday,Go shopping at Kalyustans,1,,1
4/10/21,Saturday,Cut nails,1,,1
4/10/21,Saturday,Finish Coursera Python Course ^,1,,4
4/10/21,Saturday,Prepare sourdough batter for pancakes,1,,1
4/10/21,Saturday,Write up Kaz's evaluation,1,,1
4/9/21,Friday,Empty Dishwasher,1,,1
4/9/21,Friday,Clean back of stove *,1,,2
4/9/21,Friday,Have career counseling session +,1,,3
4/9/21,Friday,Do Laundry with sheets +,1,,3
4/9/21,Friday,Test UPS *,1,,2
4/9/21,Friday,Install Amanda's USB outlet +,1,,3
4/9/21,Friday,Send Andrea Birthday Present,1,,1
4/9/21,Friday,Get bulbs for kitchen lights,1,,1
4/9/21,Friday,Fix kitchen light,1,,1
4/9/21,Friday,Start exploring car leasing options,1,,1
4/8/21,Thursday,Yoga *,1,,2
4/8/21,Thursday,Exercise - Bicycling *,1,,2
4/8/21,Thursday,Get Mother's bank paper signed *,1,,2
4/8/21,Thursday,Meditate,1,,1
4/8/21,Thursday,Exercise - Walking,1,,1
4/8/21,Thursday,Make Chicken Thighs Dinner +,1,,3
4/8/21,Thursday,Do CPAP Maintenance,1,,1
4/7/21,Wednesday,Yoga *,1,,2
4/7/21,Wednesday,Check VCR,1,,1
4/7/21,Wednesday,Record Growth Tables,1,,1
4/7/21,Wednesday,Exercise - Rowing,1,,1
4/7/21,Wednesday,Feed sourdough starter,1,,1
4/7/21,Wednesday,Reorganize future tasks *,1,,2
4/7/21,Wednesday,Glue kitchen floor grout *,1,,2
4/7/21,Wednesday,Exercise - Walking,1,,1
4/7/21,Wednesday,Look up leftover sourdough recipes,1,,1
4/7/21,Wednesday,Find chicken thighs recipe for tomorrow,1,,1
4/6/21,Tuesday,Listen to Tony Robbins Advice Applied Video,1,,1
4/6/21,Tuesday,Exercise - Bicycling *,1,,2
4/6/21,Tuesday,Distribute Medicine,1,,1
4/6/21,Tuesday,Add email to GitHub +,1,,3
4/6/21,Tuesday,Meditate,1,,1
4/6/21,Tuesday,Organize iPad Icons +,1,,3
4/6/21,Tuesday,Get Mother’s medicine refills *,1,,2
4/6/21,Tuesday,Practice AI Joke for Toastmasters *,1,,2
4/6/21,Tuesday,Attend Toastmasters Meeting +,1,,3
4/6/21,Tuesday,Run Dishwasher,1,,1
4/5/21,Monday,Yoga *,1,,2
4/5/21,Monday,Fill Olive Oil Container,1,,1
4/5/21,Monday,Verify Mother's MoNY Life Insurance Beneficiaries,1,,1
4/5/21,Monday,Change LinkedIn picture *,1,,2
4/5/21,Monday,Deal with kitchen flood +,1,,3
4/5/21,Monday,Get Mother’s filters changed,1,,1
4/5/21,Monday,Add GitHub picture +,1,,3
4/5/21,Monday,Get Rusovastatin refilled,1,,1
4/5/21,Monday,Backup old iPad,1,,1
4/5/21,Monday,Set up new iPad *,1,,2
4/5/21,Monday,Erase old iPad,1,,1
4/5/21,Monday,Return old iPad *,1,,2
4/5/21,Monday,Move tax refund money to Lourdes' account,1,,1
4/5/21,Monday,Meditate,1,,1
4/4/21,Sunday,Send Word of the Day,1,,1
4/4/21,Sunday,Distribute Medicine,1,,1
4/4/21,Sunday,Get Pork Chop and Yogurt,1,,1
4/4/21,Sunday,Get drugs and Coca Cola,1,,1
4/4/21,Sunday,Run Dishwasher after Lunch,1,,1
4/4/21,Sunday,Have Amanda take picture for LinkedIn and GitHub +,1,,3
4/4/21,Sunday,Upload new picture to PC,1,,1
4/4/21,Sunday,Return outlet plate to Home Depot,1,,1
4/4/21,Sunday,Exercise - Walking,1,,1
4/4/21,Sunday,Cook Pork Chops with Blistered Grapes +,1,,3
4/3/21,Saturday,Yoga *,1,,2
4/3/21,Saturday,Find right-angle USB adapter,1,,1
4/3/21,Saturday,Look up maintaining sourdough starter,1,,1
4/3/21,Saturday,Make Sourdough Waffles *,1,,2
4/3/21,Saturday,Get pork chops for Easter *,1,,2
4/3/21,Saturday,Get Indian sauces and chutney +,1,,3
4/3/21,Saturday,Take Out Clear Ice at 2:30,1,,1
4/3/21,Saturday,Make Samosas *,1,,2
4/3/21,Saturday,Meditate,1,,1
4/2/21,Friday,Empty Dishwasher,1,,1
4/2/21,Friday,Start humidifier,1,,1
4/2/21,Friday,Clean oven drawer,1,,1
4/2/21,Friday,Go to Trader Joe's with Lourdes +,1,,3
4/2/21,Friday,Exercise - Walking,1,,1
4/2/21,Friday,Do Laundry +,1,,3
4/2/21,Friday,Send Amanda's tax preparation payment,1,,1
4/2/21,Friday,Meditate,1,,1
4/2/21,Friday,Start Clear Ice,1,,1
4/2/21,Friday,Get sourdough 'sponge' ready for waffles *,1,,2
4/1/21,Thursday,Yoga *,1,,2
4/1/21,Thursday,Pay Saks Bill for Suit,1,,1
4/1/21,Thursday,Pay for Tax Preparation *,1,,2
4/1/21,Thursday,Calculate and Execute Transfers after Fed Tax Refund +,1,,3
4/1/21,Thursday,Set up April Exercise Challenge Spreadsheet Tab,1,,1
4/1/21,Thursday,Order goods with Tax Refund money,1,,1
4/1/21,Thursday,Calculate Citibike Cost,1,,1
4/1/21,Thursday,Backup iPad Mini,1,,1
4/1/21,Thursday,Backup MacBook,1,,1
4/1/21,Thursday,Exercise - Walking,1,,1
4/1/21,Thursday,Check for/Pickup dyed shoes,1,,1
4/1/21,Thursday,Continue Bicycle Trip Machine Learning Project +,1,,3
4/1/21,Thursday,Make and serve steak tips dinner *,1,,2
3/31/21,Wednesday,Yoga *,1,,2
3/31/21,Wednesday,Start Bicycle Trip Machine Learning Project ^,1,,4
3/31/21,Wednesday,Transfer money back from MachineWhisper account,1,,1
3/31/21,Wednesday,Generate GitHub Personal Access Token *,1,,2
3/31/21,Wednesday,Reschedule Vivek Zoom Meeting,1,,1
3/31/21,Wednesday,Ask about getting someone to wash and cut Mother's Hair,1,,1
3/31/21,Wednesday,Have Mother's Apartment Cleaned +,1,,3
3/31/21,Wednesday,Uninstall Skype and games on PC,1,,1
3/31/21,Wednesday,Try Malwarebytes on PC *,1,,2
3/31/21,Wednesday,Follow up on Mother's MoNY Life Insurance Beneficiaries *,1,,2
3/31/21,Wednesday,Backup PC *,1,,2
3/31/21,Wednesday,Rescheduled Vivek Zoom call,1,,1
3/31/21,Wednesday,Work on Coursera Python Course +,1,,3
3/31/21,Wednesday,Continue Data Analytics course on PC  +,1,,3
3/31/21,Wednesday,Consider using Hello Fresh,1,,1
3/30/21,Tuesday,Yoga *,1,,2
3/30/21,Tuesday,Attend R & Python Visualization Session +,1,,3
3/30/21,Tuesday,Continue Data Analytics course on PC  +,1,,3
3/30/21,Tuesday,Scan PC,1,,1
3/30/21,Tuesday,Figure out Numpy Dot Product,1,,1
3/30/21,Tuesday,Bookmark Visualization Galleries,1,,1
3/30/21,Tuesday,Follow up on shoe dying,1,,1
3/30/21,Tuesday,Go shopping,1,,1
3/30/21,Tuesday,Meditate,1,,1
3/30/21,Tuesday,Calibrate Weather Station Thermometer,1,,1
3/30/21,Tuesday,Work on Coursera Python Course +,1,,3
3/29/21,Monday,Yoga *,1,,2
3/29/21,Monday,Send Mother’s Taxes +,1,,3
3/29/21,Monday,Get ingredients for dinner,1,,1
3/29/21,Monday,Get teeth cleaned +,1,,3
3/29/21,Monday,Make sourdough bread +,1,,3
3/29/21,Monday,Make Tomato Soup +,1,,3
3/29/21,Monday,Meditate,1,,1
3/28/21,Sunday,Yoga *,1,,2
3/28/21,Sunday,Clean Bathroom +,1,,3
3/28/21,Sunday,Cook Dinner *,1,,2
3/28/21,Sunday,Retake Mother’s passport photo,1,,1
3/28/21,Sunday,Clean up MacBook Chrome Tabs *,1,,2
3/28/21,Sunday,Work on Coursera Python Course +,1,,3
3/28/21,Sunday,Start sourdough bread ^,1,,4
3/28/21,Sunday,Meditate,1,,1
3/27/21,Saturday,Update LinkedIn profile with Career Services Suggestions +,1,,3
3/27/21,Saturday,Yoga *,1,,2
3/27/21,Saturday,Exercise - Bicycling *,1,,2
3/27/21,Saturday,Rent car for April 13th/Cancel Avis Reservation,1,,1
3/27/21,Saturday,Feed Sourdough -,1,,0
3/27/21,Saturday,Deal with Mother's Taxes *,1,,2
3/27/21,Saturday,Grind Coffee *,1,,2
3/27/21,Saturday,Try oiling closet nick,1,,1
3/27/21,Saturday,Organize Pantry for Access to Drinks *,1,,2
3/27/21,Saturday,Have Zoom call with Veronica and Jodi,1,,1
3/26/21,Friday,Start Word of the Day Playlist *,1,,2
3/26/21,Friday,Yoga *,1,,2
3/26/21,Friday,Have Career Services Coaching Session +,1,,3
3/26/21,Friday,Ask Colin what constitutes a Data Scientist,1,,1
3/26/21,Friday,Laundry +,1,,3
3/26/21,Friday,Exercise,1,,1
3/26/21,Friday,Find out how to change LinkedIn background image,1,,1
3/26/21,Friday,Ask Vivek about LinkedIn background image,1,,1
3/26/21,Friday,Got Michelada ingredients,1,,1
3/26/21,Friday,Change LinkedIn background,1,,1
3/26/21,Friday,Send Vivek Zoom invite,1,,1
3/26/21,Friday,Straighten Sosua Picture for LinkedIn,1,,1
3/25/21,Thursday,Yoga *,1,,2
3/25/21,Thursday,Send invite for Old-UBS Friends Mini-Reunion,1,,1
3/25/21,Thursday,Review Career Services feedback suggestions *,1,,2
3/25/21,Thursday,Attend Stanford Human-Centered AI Conference ^,1,,4
3/25/21,Thursday,Meditate,1,,1
3/25/21,Thursday,Check billing for paying Saks *,1,,2
3/25/21,Thursday,Post Stanford Conference on LinkedIn *,1,,2
3/25/21,Thursday,Change PC Background to Sosua,1,,1
3/25/21,Thursday,Continue Data Analytics course on PC  +,1,,3
3/24/21,Wednesday,Get Covid-19 test +,1,,3
3/24/21,Wednesday,Find out trade-in value of iPad Mini - $85,1,,1
3/24/21,Wednesday,Follow up with Colin Lubbe about not seeing new feedback. *,1,,2
3/24/21,Wednesday,Follow Up on dyeing shoes 212-705-5761,1,,1
3/24/21,Wednesday,Take Ali’s temperature,1,,1
3/24/21,Wednesday,Meet with Steven Lee to open Mother's Investment Account +,1,,3
3/24/21,Wednesday,Meditate,1,,1
3/24/21,Wednesday,Connect with JPMorgan Careers People *,1,,2
3/24/21,Wednesday,Continue Data Analytics course on PC  +,1,,3
3/24/21,Wednesday,Send Mother's Life Insurance Dependents Form +,1,,3
3/23/21,Tuesday,Yoga *,1,,2
3/23/21,Tuesday,Talk to Chase about investment acct +,1,,3
3/23/21,Tuesday,Get FXNow working,1,,1
3/23/21,Tuesday,Start Sourdough +,1,,3
3/23/21,Tuesday,Send Tax eFile Signature Forms +,1,,3
3/23/21,Tuesday,Figure out refund distribution,1,,1
3/23/21,Tuesday,Close Mother's Wells Fargo Account +,1,,3
3/23/21,Tuesday,Do Career Services Survey,1,,1
3/23/21,Tuesday,Clean Desk +,1,,3
3/23/21,Tuesday,Fix broken file folder,1,,1
3/22/21,Monday,Yoga *,1,,2
3/22/21,Monday,Plan Dinner,1,,1
3/22/21,Monday,Cut Nails,1,,1
3/22/21,Monday,Plan Dinner,1,,1
3/22/21,Monday,Check for Baggus at MoMA Design Store,1,,1
3/22/21,Monday,Deal with Ana’s loan *,1,,2
3/22/21,Monday,Meditate,1,,1
3/22/21,Monday,Balance Mother's account for Ana loans,1,,1
3/22/21,Monday,Prepare Rana Ravioli Dinner *,1,,2
3/22/21,Monday,Finish Organizing iPhone and MacBook icons *,1,,2
3/22/21,Monday,Look up healthcare data structures +,1,,3
3/21/21,Sunday,Yoga *,1,,2
3/21/21,Sunday,Unclog Amanda's Tub,1,,1
3/21/21,Sunday,Exercise - Bicycling *,1,,2
3/21/21,Sunday,Exercise - Walking,1,,1
3/21/21,Sunday,Clean air filters,1,,1
3/21/21,Sunday,Clean humidifier *,1,,2
3/21/21,Sunday,Look for Alternate Career Services Link,1,,1
3/20/21,Saturday,Clean pillowcase *,1,,2
3/20/21,Saturday,Laundry +,1,,3
3/20/21,Saturday,Take Housing Works bag *,1,,2
3/20/21,Saturday,Organize iPhone Apps +,1,,3
3/19/21,Friday,Label suits *,1,,2
3/19/21,Friday,Arrange to finish closing Mother's Wells Fargo account *,1,,2
3/19/21,Friday,Finish organizing MacBook Apps +,1,,3
3/19/21,Friday,Email Colin about no career feedback *,1,,2
3/19/21,Friday,Watch Python Loops lesson *,1,,2
3/18/21,Thursday,Yoga *,1,,2
3/18/21,Thursday,Organize MachineWhisper Income/Expenses *,1,,2
3/18/21,Thursday,Get second Covid-19 shot +,1,,3
3/18/21,Thursday,Attempt to close Mother’s Wells Fargo account *,1,,2
3/18/21,Thursday,Reply Email about no career feedback,1,,1
3/18/21,Thursday,Make McAfee MachineWhisper expense,1,,1
3/18/21,Thursday,Change McAfee payments to Ink Visa,1,,1
3/18/21,Thursday,Change McAfee ID to machinewhisper,1,,1
3/18/21,Thursday,Move money to MachineWhisper account,1,,1
3/18/21,Thursday,Organize MacBook Apps +,1,,3
3/17/21,Wednesday,Yoga *,1,,2
3/17/21,Wednesday,Get Mother's apartment cleaned *,1,,2
3/17/21,Wednesday,Call/Email about Mother’s Wells Fargo account,1,,1
3/17/21,Wednesday,Set up camera power supply,1,,1
3/17/21,Wednesday,Answer Esti tax questions *,1,,2
3/17/21,Wednesday,Straighten out MachineWhisper Income,1,,1
3/17/21,Wednesday,File IT-204-LL +,1,,3
3/17/21,Wednesday,Get tan shoes dyed brown,1,,1
3/17/21,Wednesday,Connect with Job Search people,1,,1
3/17/21,Wednesday,Made corned beef and vegetables for St. Patrick’s Day,1,,1
3/17/21,Wednesday,Attend Climate Change Lobby Meeting *,1,,2
3/17/21,Wednesday,Look at Artem Lobodanov's Resources,1,,1
3/17/21,Wednesday,Pay Bills *,1,,2
3/16/21,Tuesday,Yoga *,1,,2
3/16/21,Tuesday,Watch Launching AI Platforms for the NHS +,1,,3
3/16/21,Tuesday,Write comment for electric outboards post,1,,1
3/16/21,Tuesday,Check Mother’s Wells Fargo account,1,,1
3/16/21,Tuesday,Continue Week 4 of Coursera Python Course +,1,,3
3/16/21,Tuesday,Attend Toastmasters +,1,,3
3/16/21,Tuesday,Pick up suit *,1,,2
3/16/21,Tuesday,Renew Global Entry *,1,,2
3/16/21,Tuesday,Send Amanda Chase Sapphire link,1,,1
3/16/21,Tuesday,Pay Toastmasters,1,,1
3/16/21,Tuesday,Look into MachineWhisper February filing,1,,1
3/16/21,Tuesday,Find out about starting sourdough,1,,1
3/15/21,Monday,Yoga *,1,,2
3/15/21,Monday,Send Mother's taxes to Frank Fabio +,1,,3
3/15/21,Monday,Send Fassbinder movie to Jodi *,1,,2
3/15/21,Monday,Add WOD reminder,1,,1
3/15/21,Monday,Clean Bathroom +,1,,3
3/15/21,Monday,Call Saks about suit,1,,1
3/15/21,Monday,Take out clear ice,1,,1
3/15/21,Monday,Polish black belt,1,,1
3/15/21,Monday,Have Zoom call with Coré and Ingrid,1,,1
3/15/21,Monday,Continue Week 4 of Coursera Python Course +,1,,3
3/14/21,Sunday,Yoga *,1,,2
3/14/21,Sunday,Figure out Manual Exposure on DSLR,1,,1
3/14/21,Sunday,Get Mother's taxes together +,1,,3
3/14/21,Sunday,Contact Frank Fabio about Mother's taxes,1,,1
3/14/21,Sunday,Reschedule Zoom call with Coré and Ingrid,1,,1
3/14/21,Sunday,Make Dinner - Lentils with Chorizo +,1,,3
3/14/21,Sunday,Set Mother’s clocks for DST,1,,1
3/14/21,Sunday,Create label for sending World on a Wire to Jodi,1,,1
3/14/21,Sunday,Find BBC story on outboards,1,,1
3/14/21,Sunday,Post Electric Outboard story on LinkedIn *,1,,2
3/14/21,Sunday,Apply for Weill Cornell job +,1,,3
3/14/21,Sunday,Add R to LinkedIn,1,,1
3/13/21,Saturday,Get Bagels *,1,,2
3/13/21,Saturday,Write up and send LinkedIn Recommendation for Cenan +,1,,3
3/13/21,Saturday,Send Greg cool things web site,1,,1
3/13/21,Saturday,Upload LinkedIn GitHub URLs to career milestones *,1,,2
3/13/21,Saturday,Change DSLR cable to short one,1,,1
3/13/21,Saturday,Exercise - Walking,1,,1
3/13/21,Saturday,Meditate,1,,1
3/13/21,Saturday,Send Radiative Cooling article to Veronica,1,,1
3/13/21,Saturday,Check Global Entry,1,,1
3/13/21,Saturday,Change clocks forward for Daylight Savings Time *,1,,2
3/13/21,Saturday,Look for Bagoo bag,1,,1
3/12/21,Friday,Check Wells Fargo account and make final transfer to Chase,1,,1
3/12/21,Friday,Yoga *,1,,2
3/12/21,Friday,Laundry +,1,,3
3/12/21,Friday,Wet Wash CPAP Equipment,1,,1
3/12/21,Friday,Prepare questions for Colin,1,,1
3/12/21,Friday,Have Career Services Meeting with Colin Lubbe +,1,,3
3/12/21,Friday,Exercise - Walking,1,,1
3/12/21,Friday,Meditate,1,,1
3/12/21,Friday,Change Title on LinkedIn,1,,1
3/12/21,Friday,Ask Cenan for a recommendation *,1,,2
3/12/21,Friday,Endorse Data Analytics team member skills,1,,1
3/12/21,Friday,Add LinkedIn Featured section *,1,,2
3/12/21,Friday,Update LinkedIn About section for 3 line display *,1,,2
3/12/21,Friday,Update LinkedIn profile and share changes with network +,1,,3
3/12/21,Friday,Continue Week 4 of Coursera Python Course,1,,1
3/11/21,Thursday,Dig out rice cup,1,,1
3/11/21,Thursday,Watch Python Lists Tutorial *,1,,2
3/11/21,Thursday,Upload revised resume to career milestones +,1,,3
3/11/21,Thursday,Get cash,1,,1
3/11/21,Thursday,Exercise - Walking,1,,1
3/11/21,Thursday,Attend Alumni to Alumni event +,1,,3
3/11/21,Thursday,Connect with Alumni to Alumni people on LinkedIn.,1,,1
3/11/21,Thursday,Relocate DSLR webcam,1,,1
3/11/21,Thursday,Upload revised resume to Google Drive *,1,,2
3/10/21,Wednesday,Yoga *,1,,2
3/10/21,Wednesday,Write to Craig,1,,1
3/10/21,Wednesday,Find out how to password-protect Notes,1,,1
3/10/21,Wednesday,Look for Zev’s survey email,1,,1
3/10/21,Wednesday,Email Zeb about Taxes,1,,1
3/10/21,Wednesday,Finish Taxes +,1,,3
3/10/21,Wednesday,Send Paint by Numbers kit to Lyudmila Rubina +,1,,3
3/10/21,Wednesday,Send Taxes +,1,,3
3/10/21,Wednesday,Make Fettuccini Dinner +,1,,3
3/10/21,Wednesday,Propose Zoom call with Coré and Ingrid,1,,1
3/10/21,Wednesday,Update MacBook,1,,1
3/10/21,Wednesday,Continue Week 4 of Coursera Python Course +,1,,3
3/9/21,Tuesday,Work on Taxes +,1,,3
3/9/21,Tuesday,Exercise - Bicycling *,1,,2
3/9/21,Tuesday,Compose Mel Robbins message,1,,1
3/9/21,Tuesday,Get Milk,1,,1
3/9/21,Tuesday,Find Paint-by-Number picture of Ethan *,1,,2
3/9/21,Tuesday,Make Toad-in-the-Hole *,1,,2
3/9/21,Tuesday,Send Mel Robbins message *,1,,2
3/8/21,Monday,Try to delete Balance account,1,,1
3/8/21,Monday,Start getting taxes together +,1,,3
3/8/21,Monday,Make clear ice,1,,1
3/8/21,Monday,Exercise - Rowing,1,,1
3/7/21,Sunday,Yoga *,1,,2
3/7/21,Sunday,Set up simple productive time tracking,1,,1
3/7/21,Sunday,Set up Zoom call with Craig,1,,1
3/7/21,Sunday,install SAS University Edition +,1,,3
3/7/21,Sunday,Get Teresa’s product,1,,1
3/7/21,Sunday,Finish Downloading Class Slack Resources +,1,,3
3/7/21,Sunday,Backup computer,1,,1
3/7/21,Sunday,Make a Python Class +,1,,3
3/6/21,Saturday,Yoga *,1,,2
3/6/21,Saturday,Add machine learning library to resume,1,,1
3/6/21,Saturday,Register Maria and Mike,1,,1
3/6/21,Saturday,Check Class Slack - download resources +,1,,3
3/5/21,Friday,Yoga *,1,,2
3/5/21,Friday,Do Laundry +,1,,3
3/5/21,Friday,Call Colin Lubbe about restarting coaching sessions,1,,1
3/5/21,Friday,Exercise - Walking to Framer's,1,,1
3/5/21,Friday,Get coaching session rescheduled +,1,,3
3/5/21,Friday,Get dinner ingredients,1,,1
3/5/21,Friday,Reformat resume with projects in Word +,1,,3
3/5/21,Friday,Put rocks around Mother’s amaryllises,1,,1
3/4/21,Thursday,Change Belly Button Biodiversity to Bacteria Biodiversity +,1,,3
3/4/21,Thursday,Finish reformatting resume with Projects +,1,,3
3/4/21,Thursday,Contact Colin Lubbe,1,,1
3/4/21,Thursday,Attend Economist Data Journalism Presentation *,1,,2
3/4/21,Thursday,Write letter for closing Wells Fargo Safe Deposit Box *,1,,2
3/4/21,Thursday,Send Wells Fargo Safe Deposit Box Form +,1,,3
3/3/21,Wednesday,Call Chase about notary,1,,1
3/3/21,Wednesday,Get mother’s maid started *,1,,2
3/3/21,Wednesday,Get ingredients for ham bone soup,1,,1
3/3/21,Wednesday,Set up hygrometer,1,,1
3/3/21,Wednesday,Make Bread *,1,,2
3/3/21,Wednesday,Get Wells Fargo Safe Deposit Box Form Notarized +,1,,3
3/3/21,Wednesday,Take Mother Shopping +,1,,3
3/3/21,Wednesday,Make ham bone soup *,1,,2
3/2/21,Tuesday,Yoga *,1,,2
3/2/21,Tuesday,Cut Nails,1,,1
3/2/21,Tuesday,Look at United Healthcare for Message about Apria,1,,1
3/2/21,Tuesday,Pay for CPAP supplies due to unmet deductible *,1,,2
3/2/21,Tuesday,Get Wells Fargo form for closing safe deposit box,1,,1
3/2/21,Tuesday,Plan Table Topics *,1,,2
3/2/21,Tuesday,Find recipe for ham bone soup,1,,1
3/2/21,Tuesday,Look into MachineWhisper filing,1,,1
3/2/21,Tuesday,Send message about grades to Danny Rivera,1,,1
3/2/21,Tuesday,Settle accounts with Mother,1,,1
3/2/21,Tuesday,Work on reformatting resume with Projects +,1,,3
3/2/21,Tuesday,Attend Toastmasters as Table Topics Master +,1,,3
3/1/21,Monday,Grind Coffee,1,,1
3/1/21,Monday,Call Wells Fargo Lady about form,1,,1
3/1/21,Monday,Call Moca Real Estate Lady *,1,,2
3/1/21,Monday,Try to find somewhere to fix bike,1,,1
3/1/21,Monday,Get bike fixed *,1,,2
3/1/21,Monday,Start Week 4 of Coursera Python Course *,1,,2
